URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/152.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	4OmeNB STD 500uM
Number	21
Position	B:C1
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/10/2022 4:30:35 AM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003383
Time Max. (min)	28.000050
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.563674
Signal Max.	60.007488
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
2.490050	0.2	2.607689
2.493383	0.2	2.596574
2.496717	0.2	2.586739
2.500050	0.2	2.578800
2.503383	0.2	2.572280
2.506717	0.2	2.566730
2.510050	0.2	2.562450
2.513383	0.2	2.559829
2.516717	0.2	2.558641
2.520050	0.2	2.558217
2.523383	0.2	2.558050
2.526717	0.2	2.557882
2.530050	0.2	2.557556
2.533383	0.2	2.557291
2.536717	0.2	2.557617
2.540050	0.2	2.558883
2.543383	0.2	2.561398
2.546717	0.2	2.565593
2.550050	0.2	2.571587
2.553383	0.2	2.578893
2.556717	0.2	2.586762
2.560050	0.2	2.595009
2.563383	0.2	2.604304
2.566717	0.2	2.615149
2.570050	0.2	2.627065
2.573383	0.2	2.639261
2.576717	0.2	2.651345
2.580050	0.2	2.663042
2.583383	0.2	2.674228
2.586717	0.2	2.685389
2.590050	0.2	2.697138
2.593383	0.2	2.709664
2.596717	0.2	2.723015
2.600050	0.2	2.737395
2.603383	0.2	2.753139
2.606717	0.2	2.770619
2.610050	0.2	2.790070
2.613383	0.2	2.811323
2.616717	0.2	2.833884
2.620050	0.2	2.857512
2.623383	0.2	2.882355
2.626717	0.2	2.908320
2.630050	0.2	2.934923
2.633383	0.2	2.961899
2.636717	0.2	2.989531
2.640050	0.2	3.018258
2.643383	0.2	3.048452
2.646717	0.2	3.080419
2.650050	0.2	3.114101
2.653383	0.2	3.148708
2.656717	0.2	3.183172
2.660050	0.2	3.217007
2.663383	0.2	3.250898
2.666717	0.2	3.286367
2.670050	0.2	3.324579
2.673383	0.2	3.365297
2.676717	0.2	3.407388
2.680050	0.2	3.450033
2.683383	0.2	3.493158
2.686717	0.2	3.536795
2.690050	0.2	3.580572
2.693383	0.2	3.624256
2.696717	0.2	3.667977
2.700050	0.2	3.711828
2.703383	0.2	3.755651
2.706717	0.2	3.799112
2.710050	0.2	3.841845
2.713383	0.2	3.883848
2.716717	0.2	3.925427
2.720050	0.2	3.966778
2.723383	0.2	4.007965
2.726717	0.2	4.049018
2.730050	0.2	4.089545
2.733383	0.2	4.128795
2.736717	0.2	4.166360
2.740050	0.2	4.202421
2.743383	0.2	4.237420
2.746717	0.2	4.271804
2.750050	0.2	4.305909
2.753383	0.2	4.339726
2.756717	0.2	4.372648
2.760050	0.2	4.403857
2.763383	0.2	4.433058
2.766717	0.2	4.460434
2.770050	0.2	4.485883
2.773383	0.2	4.508845
2.776717	0.2	4.528607
2.780050	0.2	4.544551
2.783383	0.2	4.556626
2.786717	0.2	4.565581
2.790050	0.2	4.572617
2.793383	0.2	4.578801
2.796717	0.2	4.584636
2.800050	0.2	4.589912
2.803383	0.2	4.593749
2.806717	0.2	4.594903
2.810050	0.2	4.592547
2.813383	0.2	4.586754
2.816717	0.2	4.578056
2.820050	0.2	4.566871
2.823383	0.2	4.553408
2.826717	0.2	4.537953
2.830050	0.2	4.521003
2.833383	0.2	4.502824
2.836717	0.2	4.483005
