URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/535.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	TAA fed 500 -3
Number	49
Position	B:E8
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/10/2022 5:53:42 PM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003367
Time Max. (min)	28.000033
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.578035
Signal Max.	76.911426
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.696700	0.2	-0.050324
0.700033	0.2	-0.051060
0.703367	0.2	-0.051735
0.706700	0.2	-0.051958
0.710033	0.2	-0.051721
0.713367	0.2	-0.051348
0.716700	0.2	-0.051027
0.720033	0.2	-0.050520
0.723367	0.2	-0.049826
0.726700	0.2	-0.049602
0.730033	0.2	-0.050324
0.733367	0.2	-0.051409
0.736700	0.2	-0.052107
0.740033	0.2	-0.052638
0.743367	0.2	-0.053700
0.746700	0.2	-0.055223
0.750033	0.2	-0.056350
0.753367	0.2	-0.056592
0.756700	0.2	-0.056247
0.760033	0.2	-0.055884
0.763367	0.2	-0.055847
0.766700	0.2	-0.056033
0.770033	0.2	-0.056070
0.773367	0.2	-0.056061
0.776700	0.2	-0.056569
0.780033	0.2	-0.057598
0.783367	0.2	-0.058296
0.786700	0.2	-0.058156
0.790033	0.2	-0.057770
0.793367	0.2	-0.057868
0.796700	0.2	-0.058552
0.800033	0.2	-0.059572
0.803367	0.2	-0.060629
0.806700	0.2	-0.061472
0.810033	0.2	-0.062250
0.813367	0.2	-0.063241
0.816700	0.2	-0.064084
0.820033	0.2	-0.064033
0.823367	0.2	-0.063186
0.826700	0.2	-0.062492
0.830033	0.2	-0.062617
0.833367	0.2	-0.063442
0.836700	0.2	-0.064485
0.840033	0.2	-0.065248
0.843367	0.2	-0.065221
0.846700	0.2	-0.064252
0.850033	0.2	-0.062925
0.853367	0.2	-0.061928
0.856700	0.2	-0.061332
0.860033	0.2	-0.060848
0.863367	0.2	-0.060489
0.866700	0.2	-0.060373
0.870033	0.2	-0.060452
0.873367	0.2	-0.060713
0.876700	0.2	-0.061048
0.880033	0.2	-0.061109
0.883367	0.2	-0.060871
0.886700	0.2	-0.060876
0.890033	0.2	-0.061663
0.893367	0.2	-0.063144
0.896700	0.2	-0.064708
0.900033	0.2	-0.065835
0.903367	0.2	-0.066478
0.906700	0.2	-0.066813
0.910033	0.2	-0.066822
0.913367	0.2	-0.066236
0.916700	0.2	-0.064769
0.920033	0.2	-0.062422
0.923367	0.2	-0.059898
0.926700	0.2	-0.058482
0.930033	0.2	-0.058939
0.933367	0.2	-0.060704
0.936700	0.2	-0.062520
0.940033	0.2	-0.063535
0.943367	0.2	-0.063628
0.946700	0.2	-0.063404
0.950033	0.2	-0.063693
0.953367	0.2	-0.064569
0.956700	0.2	-0.065216
0.960033	0.2	-0.065151
0.963367	0.2	-0.064867
0.966700	0.2	-0.065295
0.970033	0.2	-0.066878
0.973367	0.2	-0.068932
0.976700	0.2	-0.070240
0.980033	0.2	-0.070366
0.983367	0.2	-0.069947
0.986700	0.2	-0.069709
0.990033	0.2	-0.069705
0.993367	0.2	-0.069584
0.996700	0.2	-0.069276
1.000033	0.2	-0.069113
1.003367	0.2	-0.069290
1.006700	0.2	-0.069579
1.010033	0.2	-0.069663
