URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/650.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	WT fed 500 -3
Number	75
Position	Y:B5
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/11/2022 6:19:31 AM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003350
Time Max. (min)	28.000017
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.545266
Signal Max.	70.751691
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.423350	0.2	41.566324
1.426683	0.2	41.731349
1.430017	0.2	41.895798
1.433350	0.2	42.052502
1.436683	0.2	42.194226
1.440017	0.2	42.314348
1.443350	0.2	42.406586
1.446683	0.2	42.464654
1.450017	0.2	42.482466
1.453350	0.2	42.454298
1.456683	0.2	42.374930
1.460017	0.2	42.240149
1.463350	0.2	42.047179
1.466683	0.2	41.794595
1.470017	0.2	41.481848
1.473350	0.2	41.108751
1.476683	0.2	40.675676
1.480017	0.2	40.184259
1.483350	0.2	39.637792
1.486683	0.2	39.041275
1.490017	0.2	38.401005
1.493350	0.2	37.723654
1.496683	0.2	37.015434
1.500017	0.2	36.282055
1.503350	0.2	35.528969
1.506683	0.2	34.761499
1.510017	0.2	33.984939
1.513350	0.2	33.204644
1.516683	0.2	32.425588
1.520017	0.2	31.651980
1.523350	0.2	30.887336
1.526683	0.2	30.134521
1.530017	0.2	29.395828
1.533350	0.2	28.673154
1.536683	0.2	27.967952
1.540017	0.2	27.281223
1.543350	0.2	26.613558
1.546683	0.2	25.965162
1.550017	0.2	25.335806
1.553350	0.2	24.724989
1.556683	0.2	24.132747
1.560017	0.2	23.560231
1.563350	0.2	23.008520
1.566683	0.2	22.477321
1.570017	0.2	21.965355
1.573350	0.2	21.471381
1.576683	0.2	20.994646
1.580017	0.2	20.534555
1.583350	0.2	20.090332
1.586683	0.2	19.661034
1.590017	0.2	19.246023
1.593350	0.2	18.845266
1.596683	0.2	18.458734
1.600017	0.2	18.085567
1.603350	0.2	17.724289
1.606683	0.2	17.373576
1.610017	0.2	17.032577
1.613350	0.2	16.700872
1.616683	0.2	16.378630
1.620017	0.2	16.066404
1.623350	0.2	15.764749
1.626683	0.2	15.474227
1.630017	0.2	15.195906
1.633350	0.2	14.931541
1.636683	0.2	14.682822
1.640017	0.2	14.450429
1.643350	0.2	14.233938
1.646683	0.2	14.032801
1.650017	0.2	13.847626
1.653350	0.2	13.680290
1.656683	0.2	13.533011
1.660017	0.2	13.407408
1.663350	0.2	13.303771
1.666683	0.2	13.221023
1.670017	0.2	13.157665
1.673350	0.2	13.112300
1.676683	0.2	13.083131
1.680017	0.2	13.067694
1.683350	0.2	13.063857
1.686683	0.2	13.070470
1.690017	0.2	13.086554
1.693350	0.2	13.110540
1.696683	0.2	13.140412
1.700017	0.2	13.173888
1.703350	0.2	13.208357
1.706683	0.2	13.241274
1.710017	0.2	13.270685
1.713350	0.2	13.295370
1.716683	0.2	13.314313
1.720017	0.2	13.326397
1.723350	0.2	13.330537
1.726683	0.2	13.325620
1.730017	0.2	13.310257
1.733350	0.2	13.283016
1.736683	0.2	13.242909
1.740017	0.2	13.189600
